place_of_birth,topic,topic_disaggregation,year,count,year_total,percent_total
Birth centre,Socioeconomic status,Q4,2017,1403,60488,2.3
Birth centre,Socioeconomic status,Q5 (least disadvantaged),2017,1378,53460,2.6
Birth centre,Socioeconomic status,Not stated,2017,110,3488,3.2
Home,Socioeconomic status,Q1 (most disadvantaged),2017,99,60265,0.2
Home,Socioeconomic status,Q2,2017,126,57016,0.2
Home,Socioeconomic status,Q3,2017,200,65258,0.3
Home,Socioeconomic status,Q4,2017,186,60488,0.3
Home,Socioeconomic status,Q5 (least disadvantaged),2017,158,53460,0.3
Home,Socioeconomic status,Not stated,2017,26,3488,0.7
Other,Socioeconomic status,Q1 (most disadvantaged),2017,513,60265,0.9
Other,Socioeconomic status,Q2,2017,426,57016,0.7
Other,Socioeconomic status,Q3,2017,423,65258,0.6
Other,Socioeconomic status,Q4,2017,305,60488,0.5
Other,Socioeconomic status,Q5 (least disadvantaged),2017,270,53460,0.5
Other,Socioeconomic status,Not stated,2017,27,3488,0.8
Not stated,Socioeconomic status,Q1 (most disadvantaged),2017,2,60265,0
Not stated,Socioeconomic status,Q2,2017,6,57016,0
Not stated,Socioeconomic status,Q3,2017,8,65258,0
Not stated,Socioeconomic status,Q4,2017,0,60488,0
Not stated,Socioeconomic status,Q5 (least disadvantaged),2017,0,53460,0
Not stated,Socioeconomic status,Not stated,2017,0,3488,0
Hospital,State and territory of birth,NSW,2017,89872,94434,95.2
Hospital,State and territory of birth,Vic,2017,77961,78584,99.2
Hospital,State and territory of birth,Qld,2017,57478,59387,96.8
Hospital,State and territory of birth,WA,2017,33127,34016,97.4
Hospital,State and territory of birth,SA,2017,17922,19195,93.4
Hospital,State and territory of birth,Tas,2017,5416,5496,98.5
Hospital,State and territory of birth,ACT,2017,5671,6185,91.7
Hospital,State and territory of birth,NT,2017,3605,3798,94.9
Birth centre,State and territory of birth,NSW,2017,3816,94434,4
Birth centre,State and territory of birth,Vic,2017,0,78584,0
Birth centre,State and territory of birth,Qld,2017,1266,59387,2.1
Birth centre,State and territory of birth,WA,2017,513,34016,1.5
Birth centre,State and territory of birth,SA,2017,1081,19195,5.6
Birth centre,State and territory of birth,Tas,2017,0,5496,0
Birth centre,State and territory of birth,ACT,2017,467,6185,7.6
Birth centre,State and territory of birth,NT,2017,104,3798,2.7
Home,State and territory of birth,NSW,2017,19,94434,0
Home,State and territory of birth,Vic,2017,246,78584,0.3
Home,State and territory of birth,Qld,2017,163,59387,0.3
Home,State and territory of birth,WA,2017,207,34016,0.6
Home,State and territory of birth,SA,2017,73,19195,0.4
Home,State and territory of birth,Tas,2017,52,5496,0.9
Home,State and territory of birth,ACT,2017,12,6185,0.2
Home,State and territory of birth,NT,2017,34,3798,0.9
Other,State and territory of birth,NSW,2017,727,94434,0.8
Other,State and territory of birth,Vic,2017,377,78584,0.5
Other,State and territory of birth,Qld,2017,479,59387,0.8
Other,State and territory of birth,WA,2017,154,34016,0.5
Other,State and territory of birth,SA,2017,119,19195,0.6
Other,State and territory of birth,Tas,2017,28,5496,0.5
Other,State and territory of birth,ACT,2017,35,6185,0.6
Other,State and territory of birth,NT,2017,55,3798,1.4
Not stated,State and territory of birth,NSW,2017,0,94434,0
Not stated,State and territory of birth,Vic,2017,0,78584,0
Not stated,State and territory of birth,Qld,2017,1,59387,0
Not stated,State and territory of birth,WA,2017,15,34016,0
Not stated,State and territory of birth,SA,2017,0,19195,0
Not stated,State and territory of birth,Tas,2017,0,5496,0
Not stated,State and territory of birth,ACT,2017,0,6185,0
Not stated,State and territory of birth,NT,2017,0,3798,0
Hospital,Country of birth (mother),Born in Australia,2018,184638,192172,96.1
Hospital,Country of birth (mother),Born overseas,2018,102141,105383,96.9
Hospital,Country of birth (mother),Not stated,2018,810,1075,75.3
Birth centre,Country of birth (mother),Born in Australia,2018,5631,192172,2.9
Birth centre,Country of birth (mother),Born overseas,2018,2552,105383,2.4
Birth centre,Country of birth (mother),Not stated,2018,26,1075,2.4
Home,Country of birth (mother),Born in Australia,2018,602,192172,0.3
Home,Country of birth (mother),Born overseas,2018,148,105383,0.1
Home,Country of birth (mother),Not stated,2018,194,1075,18
Other,Country of birth (mother),Born in Australia,2018,1295,192172,0.7
Other,Country of birth (mother),Born overseas,2018,542,105383,0.5
Other,Country of birth (mother),Not stated,2018,23,1075,2.1
Not stated,Country of birth (mother),Born in Australia,2018,6,192172,0
Not stated,Country of birth (mother),Born overseas,2018,0,105383,0
Not stated,Country of birth (mother),Not stated,2018,22,1075,2
Hospital,Indigenous status (mother),Indigenous,2018,13232,13754,96.2
Hospital,Indigenous status (mother),Non-Indigenous,2018,273672,284168,96.3
Hospital,Indigenous status (mother),Not stated,2018,685,708,96.8
Birth centre,Indigenous status (mother),Indigenous,2018,338,13754,2.5
Birth centre,Indigenous status (mother),Non-Indigenous,2018,7863,284168,2.8
Birth centre,Indigenous status (mother),Not stated,2018,8,708,1.1
Home,Indigenous status (mother),Indigenous,2018,8,13754,0.1
Home,Indigenous status (mother),Non-Indigenous,2018,930,284168,0.3
Home,Indigenous status (mother),Not stated,2018,6,708,0.8
Other,Indigenous status (mother),Indigenous,2018,176,13754,1.3
Other,Indigenous status (mother),Non-Indigenous,2018,1675,284168,0.6
Other,Indigenous status (mother),Not stated,2018,9,708,1.3
Not stated,Indigenous status (mother),Indigenous,2018,0,13754,0
Not stated,Indigenous status (mother),Non-Indigenous,2018,28,284168,0
Not stated,Indigenous status (mother),Not stated,2018,0,708,0
Hospital,Maternal age,Less than 20,2018,5761,6014,95.8
Hospital,Maternal age,20-24,2018,32390,33734,96
Hospital,Maternal age,25-29,2018,75938,79091,96
Hospital,Maternal age,30-34,2018,103512,107485,96.3
Hospital,Maternal age,35-39,2018,57204,59196,96.6
Hospital,Maternal age,40 and over,2018,12770,13092,97.5
Hospital,Maternal age,Not stated,2018,14,18,0.8
Birth centre,Maternal age,Less than 20,2018,202,6014,3.4
Birth centre,Maternal age,20-24,2018,1040,33734,3.1
Birth centre,Maternal age,25-29,2018,2416,79091,3.1
Birth centre,Maternal age,30-34,2018,2946,107485,2.7
Birth centre,Maternal age,35-39,2018,1391,59196,2.3
Birth centre,Maternal age,40 and over,2018,214,13092,1.6
Birth centre,Maternal age,Not stated,2018,0,18,0
Home,Maternal age,20-24,2018,45,33734,0.1
Home,Maternal age,25-29,2018,242,79091,0.3
Home,Maternal age,30-34,2018,368,107485,0.3
Home,Maternal age,35-39,2018,240,59196,0.4
Home,Maternal age,Not stated,2018,3,18,0.2
Other,Maternal age,Less than 20,2018,48,6014,0.8
Other,Maternal age,20-24,2018,258,33734,0.8
Other,Maternal age,25-29,2018,486,79091,0.6
Other,Maternal age,30-34,2018,645,107485,0.6
Other,Maternal age,35-39,2018,359,59196,0.6
Other,Maternal age,40 and over,2018,63,13092,0.5
Other,Maternal age,Not stated,2018,1,18,0.1
Not stated,Maternal age,20-24,2018,1,33734,0
Not stated,Maternal age,25-29,2018,9,79091,0
Not stated,Maternal age,30-34,2018,14,107485,0
Not stated,Maternal age,35-39,2018,2,59196,0
Not stated,Maternal age,Not stated,2018,0,18,0
Hospital,Parity,None,2018,123066,126605,97.2
Hospital,Parity,One,2018,100526,104993,95.7
Hospital,Parity,Two,2018,40516,42400,95.6
Hospital,Parity,Three,2018,13792,14443,95.5
Hospital,Parity,Four or more,2018,9577,10066,95.1
Hospital,Parity,Not stated,2018,112,123,91.1
Birth centre,Parity,None,2018,3069,126605,2.4
Birth centre,Parity,One,2018,3170,104993,3
Birth centre,Parity,Two,2018,1311,42400,3.1
Birth centre,Parity,Three,2018,394,14443,2.7
Birth centre,Parity,Four or more,2018,257,10066,2.6
Birth centre,Parity,Not stated,2018,8,123,6.5
Home,Parity,None,2018,228,126605,0.2
Home,Parity,One,2018,399,104993,0.4
Home,Parity,Two,2018,191,42400,0.5
Home,Parity,Three,2018,80,14443,0.6
Home,Parity,Four or more,2018,45,10066,0.4
Home,Parity,Not stated,2018,1,123,0.8
Other,Parity,None,2018,236,126605,0.2
Other,Parity,One,2018,886,104993,0.8
Other,Parity,Two,2018,376,42400,0.9
Other,Parity,Three,2018,175,14443,1.2
Other,Parity,Four or more,2018,185,10066,1.8
Other,Parity,Not stated,2018,2,123,1.6
Not stated,Parity,None,2018,6,126605,0
Not stated,Parity,One,2018,12,104993,0
Not stated,Parity,Two,2018,6,42400,0
Not stated,Parity,Three,2018,2,14443,0
Not stated,Parity,Four or more,2018,2,10066,0
Not stated,Parity,Not stated,2018,0,123,0
Hospital,Remoteness area,Major cities,2018,207211,215333,96.2
Hospital,Remoteness area,Inner regional,2018,46651,48283,96.6
Hospital,Remoteness area,Outer regional,2018,22603,23507,96.2
Hospital,Remoteness area,Remote,2018,4077,4173,97.7
Hospital,Remoteness area,Very remote,2018,2496,2549,97.9
Birth centre,Remoteness area,Major cities,2018,6224,215333,2.9
Birth centre,Remoteness area,Inner regional,2018,1059,48283,2.2
Birth centre,Remoteness area,Outer regional,2018,689,23507,2.9
Birth centre,Remoteness area,Remote,2018,45,4173,1.1
Birth centre,Remoteness area,Very remote,2018,12,2549,0.5
Home,Remoteness area,Major cities,2018,657,215333,0.3
Home,Remoteness area,Inner regional,2018,184,48283,0.4
Home,Remoteness area,Outer regional,2018,55,23507,0.2
Home,Remoteness area,Remote,2018,20,4173,0.5
Home,Remoteness area,Very remote,2018,0,2549,0
Other,Remoteness area,Major cities,2018,1240,215333,0.6
Other,Remoteness area,Inner regional,2018,362,48283,0.7
Other,Remoteness area,Outer regional,2018,160,23507,0.7
Other,Remoteness area,Remote,2018,31,4173,0.7
Other,Remoteness area,Very remote,2018,40,2549,1.6
Not stated,Remoteness area,Major cities,2018,1,215333,0
Not stated,Remoteness area,Inner regional,2018,27,48283,0.1
Not stated,Remoteness area,Outer regional,2018,0,23507,0
Not stated,Remoteness area,Remote,2018,0,4173,0
Not stated,Remoteness area,Very remote,2018,0,2549,0
Hospital,Socioeconomic status,Q1 (most disadvantaged),2018,56641,58726,96.4
Hospital,Socioeconomic status,Q2,2018,55031,57197,96.2
Hospital,Socioeconomic status,Q3,2018,61363,63881,96.1
Hospital,Socioeconomic status,Q4,2018,57692,59767,96.5
Hospital,Socioeconomic status,Q5 (least disadvantaged),2018,52073,54031,96.4
Hospital,Socioeconomic status,Not stated,2018,3540,3746,94.5
Birth centre,Socioeconomic status,Q1 (most disadvantaged),2018,1484,58726,2.5
Birth centre,Socioeconomic status,Q2,2018,1654,57197,2.9
Birth centre,Socioeconomic status,Q3,2018,1855,63881,2.9
Birth centre,Socioeconomic status,Q4,2018,1526,59767,2.6
Birth centre,Socioeconomic status,Q5 (least disadvantaged),2018,1507,54031,2.8
Birth centre,Socioeconomic status,Not stated,2018,170,3746,4.5
Home,Socioeconomic status,Q1 (most disadvantaged),2018,107,58726,0.2
Home,Socioeconomic status,Q2,2018,148,57197,0.3
Home,Socioeconomic status,Q3,2018,223,63881,0.3
Home,Socioeconomic status,Q4,2018,240,59767,0.4
Home,Socioeconomic status,Q5 (least disadvantaged),2018,198,54031,0.4
Home,Socioeconomic status,Not stated,2018,17,3746,0.5
Other,Socioeconomic status,Q1 (most disadvantaged),2018,493,58726,0.8
Other,Socioeconomic status,Q2,2018,361,57197,0.6
Other,Socioeconomic status,Q3,2018,419,63881,0.7
Other,Socioeconomic status,Q4,2018,307,59767,0.5
Other,Socioeconomic status,Q5 (least disadvantaged),2018,252,54031,0.5
Other,Socioeconomic status,Not stated,2018,19,3746,0.5
Not stated,Socioeconomic status,Q1 (most disadvantaged),2018,1,58726,0
Not stated,Socioeconomic status,Q2,2018,3,57197,0
Not stated,Socioeconomic status,Q3,2018,21,63881,0
Not stated,Socioeconomic status,Q4,2018,2,59767,0
Not stated,Socioeconomic status,Q5 (least disadvantaged),2018,1,54031,0
Not stated,Socioeconomic status,Not stated,2018,0,3746,0
Hospital,State and territory of birth,NSW,2018,88452,94163,93.9
Hospital,State and territory of birth,Vic,2018,77033,77733,99.1
Hospital,State and territory of birth,Qld,2018,57725,59624,96.8
Hospital,State and territory of birth,WA,2018,32067,32974,97.2
Hospital,State and territory of birth,SA,2018,17943,19044,94.2
Hospital,State and territory of birth,Tas,2018,5359,5436,98.6
Hospital,State and territory of birth,ACT,2018,5409,5929,91.2
Hospital,State and territory of birth,NT,2018,3601,3727,96.6
Birth centre,State and territory of birth,NSW,2018,4936,94163,5.2
Birth centre,State and territory of birth,Vic,2018,0,77733,0
Birth centre,State and territory of birth,Qld,2018,1344,59624,2.3
Birth centre,State and territory of birth,WA,2018,540,32974,1.6
Birth centre,State and territory of birth,SA,2018,876,19044,4.6
Birth centre,State and territory of birth,Tas,2018,0,5436,0
Birth centre,State and territory of birth,ACT,2018,477,5929,8
Birth centre,State and territory of birth,NT,2018,36,3727,1
Home,State and territory of birth,NSW,2018,140,94163,0.1
Home,State and territory of birth,Vic,2018,302,77733,0.4
Home,State and territory of birth,Qld,2018,129,59624,0.2
Home,State and territory of birth,WA,2018,181,32974,0.5
Home,State and territory of birth,SA,2018,97,19044,0.5
Home,State and territory of birth,Tas,2018,47,5436,0.9
Home,State and territory of birth,ACT,2018,15,5929,0.3
Home,State and territory of birth,NT,2018,33,3727,0.9
Other,State and territory of birth,NSW,2018,629,94163,0.7
Other,State and territory of birth,Vic,2018,398,77733,0.5
Other,State and territory of birth,Qld,2018,426,59624,0.7
Other,State and territory of birth,WA,2018,164,32974,0.5
Other,State and territory of birth,SA,2018,128,19044,0.7
Other,State and territory of birth,Tas,2018,30,5436,0.6
Other,State and territory of birth,ACT,2018,28,5929,0.5
Other,State and territory of birth,NT,2018,57,3727,1.5
Not stated,State and territory of birth,NSW,2018,6,94163,0
Not stated,State and territory of birth,Vic,2018,0,77733,0
Not stated,State and territory of birth,Qld,2018,0,59624,0
Not stated,State and territory of birth,WA,2018,22,32974,0.1
Not stated,State and territory of birth,SA,2018,0,19044,0
Not stated,State and territory of birth,Tas,2018,0,5436,0
Not stated,State and territory of birth,ACT,2018,0,5929,0
Not stated,State and territory of birth,NT,2018,0,3727,0
